template_name,chapter,primary_use,typical_output_location
career-readiness-self-assessment,02-career-readiness,assess starting point,results/career-readiness/
skills-inventory,03-skills-inventory,map skills and evidence,results/skills-inventory/
career-direction-map,04-career-direction,compare target pathways,results/career-direction/
learning-plan,05-learning-plan,connect learning to output,results/learning-plan/
portfolio-evidence-tracker,06-portfolio-building,track proof artifacts,results/portfolio-building/
project-based-proof,07-project-based-proof,structure a project artifact,results/project-based-proof/
communication-visibility-log,08-communication-and-visibility,track public and professional communication,results/communication-visibility/
networking-mentorship-map,09-networking-and-mentorship,plan feedback conversations,results/networking-mentorship/
job-market-readiness-tracker,10-job-market-readiness,compare real roles with current evidence,results/job-market-readiness/
cv-linkedin-profile-review,11-cv-linkedin-and-profile,improve professional profile,results/cv-linkedin-profile/
interview-conversation-prep,12-interviews-and-career-conversations,prepare evidence-based answers,results/interview-conversations/
workplace-performance-log,13-workplace-performance,record delivery and trust evidence,results/workplace-performance/
career-resilience-map,14-career-resilience-and-diversification,map risks and backup options,results/career-resilience/
personal-operating-system,15-personal-operating-system,maintain weekly routines,results/personal-operating-system/
opportunity-design-map,16-income-growth-and-opportunity-design,design role or income pathways,results/opportunity-design/
career-system-roadmap,18-career-system-roadmap,plan 30-day 90-day and 12-month actions,results/career-system-roadmap/
