readiness_area,guiding_question,score_1_to_5,current_evidence,next_action
Career Direction,Can I clearly explain where I am trying to grow?,,,
Skills and Knowledge,Can I list and demonstrate relevant skills?,,,
Portfolio Evidence,Do I have visible proof of applied work?,,,
Professional Communication,Can I explain my value clearly?,,,
Mentorship,Do I have people who can guide or advise me?,,,
Network Support,Am I visible to people connected to opportunities?,,,
Job-Market Readiness,Are my CV profile and examples ready to share?,,,
Interview Readiness,Can I discuss my work and learning journey confidently?,,,
Consistency,Do I have a routine for growth and improvement?,,,
Resilience,Can I adapt when plans change or opportunities fail?,,,
