folder,purpose
results/career-readiness,career readiness assessment outputs
results/skills-inventory,skills inventory outputs
results/career-direction,career direction maps
results/learning-plan,learning plan outputs
results/portfolio-building,portfolio evidence tracking outputs
results/project-based-proof,project proof outputs
results/communication-visibility,visibility and communication logs
results/networking-mentorship,networking and mentorship maps
results/job-market-readiness,job market readiness trackers
results/cv-linkedin-profile,CV LinkedIn and profile review outputs
results/interview-conversations,interview preparation outputs
results/workplace-performance,workplace performance logs
results/career-resilience,resilience and diversification maps
results/personal-operating-system,personal operating system routines
results/opportunity-design,opportunity design maps
results/career-system-roadmap,career system roadmap outputs
portfolio/project-summaries,public or shareable project summaries
portfolio/cv-profile,CV profile and professional summary materials
portfolio/evidence,selected artifacts that support career claims
